Repository,File Name,Class,Start Line,End Line,Displacement,Level
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,arguments,A2
,products,anonymousFunction,A1
,products,arrowFunctionParameters,A1
,products,formalParameterList,A1
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,varModifier,A1
,products,parseInt,A2
,products,parseInt,A2
,products,arguments,A2
,products,tryStatement,A2
,products,varModifier,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,arguments,A2
,products,objectLiteral,A1
,products,Math,A1
,products,Math,A1
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,anonymousFunction,A1
,products,arrowFunctionParameters,A1
,products,formalParameterList,A1
,products,varModifier,A1
,products,varModifier,A1
,products,parseInt,A2
,products,parseInt,A2
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,tryStatement,A2
,products,varModifier,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,objectLiteral,A1
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,objectLiteral,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,Math,A1
,products,Math,A1
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,anonymousFunction,A1
,products,arrowFunctionParameters,A1
,products,formalParameterList,A1
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,varModifier,A1
,products,parseInt,A2
,products,parseInt,A2
,products,arguments,A2
,products,tryStatement,A2
,products,varModifier,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,varModifier,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,arguments,A2
,products,objectLiteral,A1
,products,toString,A1
,products,arguments,A2
,products,Math,A1
,products,Math,A1
,products,arguments,A2
,products,arguments,A2
,products,returnStatement,A1
,products,arguments,A2
,products,arguments,A2
,products,anonymousFunction,A1
,products,arrowFunctionParameters,A1
,products,formalParameterList,A1
,products,varModifier,A1
,products,arguments,A2
,products,varModifier,A1
,products,arguments,A2
,products,tryStatement,A2
,products,varModifier,A1
,products,arguments,A2
,products,arguments,A2
,products,arguments,A2
,products,objectLiteral,A1
,products,arguments,A2
,products,returnStatement,A1
,products,arguments,A2
